Code,Name,Year,hd30_ssp245,cdd_ssp245,r20mm_ssp245,hd30_ssp370,cdd_ssp370,r20mm_ssp370
MEX,Mexico,2047,15.399696969696976,1.5875757575757703,0.20848484848484894,14.767272727272768,0.905757575757562,0.3275757575757563
MAR,Morocco,2047,7.432424242424247,0.08636363636361466,0.17212121212121212,8.974545454545435,2.5236363636363706,-0.13454545454545452
NGA,Nigeria,2047,15.450303030302905,1.3839393939393858,0.6457575757575755,11.17696969696965,1.0454545454545467,1.1806060606060607
PAK,Pakistan,2047,6.548484848484918,-6.712121212121218,0.006060606060606322,6.716363636363667,-2.8212121212121417,0.164545454545455
PER,Peru,2047,21.225151515151495,-0.5015151515151643,1.072424242424244,21.80303030303027,-0.2039393939393861,-0.04363636363636303
PHL,Philippines,2047,31.47999999999996,0.6569696969696963,0.5621212121212125,32.720303030303,2.7809090909090948,-0.5093939393939415
RUS,Russian Federation,2047,1.8481818181818177,0.2724242424242469,0.18545454545454554,2.4081818181818173,0.24969696969696642,0.03363636363636391
SAU,Saudi Arabia,2047,9.71757575757573,-7.8921212121211965,0.0603030303030303,8.463939393939427,2.7178787878788455,0.042121212121212115
SEN,Senegal,2047,6.456666666666706,-0.5957575757575455,0.2424242424242422,3.333030303030341,6.532424242424241,0.30484848484848515
ZAF,South Africa,2047,13.134848484848476,4.2639393939393955,0.0957575757575766,14.74909090909091,8.985151515151507,-0.1593939393939392
ESP,Spain,2047,6.693333333333342,2.1518181818181716,-0.40757575757575815,8.532727272727286,2.487878787878792,-0.005151515151514907
SWE,Sweden,2047,0.17696969696969694,-0.3409090909090864,0.06272727272727252,0.01818181818181818,-0.4045454545454561,0.21030303030303044
THA,Thailand,2047,17.573636363636467,-0.1751515151515335,0.5606060606060606,21.06333333333339,0.7896969696969691,-0.3342424242424258
TUR,Türkiye,2047,9.434848484848487,3.1299999999999955,-0.24818181818181717,9.896363636363617,-1.7766666666666637,-0.046666666666666856
GBR,United Kingdom,2047,0.028484848484848474,-0.2669696969696993,0.16545454545454508,0.013333333333333308,-0.7127272727272729,0.4887878787878792
ARE,United Arab Emirates,2047,9.635454545454536,0.8015151515151899,-0.035151515151515156,9.906060606060635,2.0081818181818107,-0.12727272727272726
USA,United States of America,2047,8.04242424242426,0.8248484848484843,0.12272727272727124,8.355454545454549,2.2015151515151494,0.13575757575757574
VEN,R. B. de Venezuela,2047,25.290303030303022,1.0951515151515103,-1.026666666666669,30.221515151515177,4.666060606060601,0.24848484848485164
VNM,Vietnam,2047,19.222121212121237,0.6345454545454565,-0.016969696969695747,17.57151515151517,-0.22121212121211187,0.355151515151519
DZA,Algeria,2048,7.360000000000014,13.294705882352957,-0.029705882352941165,9.739117647058862,7.888235294117635,-0.00882352941176473
ARG,Argentina,2048,4.907647058823528,-0.4705882352941231,0.6597058823529398,9.977352941176477,0.7655882352941177,0.19382352941176428
AUS,Australia,2048,13.273823529411715,10.722058823529409,-0.09735294117647086,9.680882352941211,7.062352941176471,0.34735294117647086
BGD,Bangladesh,2048,21.904411764705856,2.112941176470599,-1.4464705882352789,16.962058823529418,2.0752941176470614,-2.750588235294117
BRA,Brazil,2048,26.96764705882353,4.880882352941171,-0.136176470588234,26.59470588235294,6.9167647058823505,-0.12058823529411455
KHM,Cambodia,2048,17.375000000000057,-1.9255882352941143,-0.4726470588235312,20.105882352941194,5.1394117647058835,0.4358823529411726
CAN,Canada,2048,1.1729411764705886,-0.7285294117647112,0.057941176470588385,0.8638235294117651,-1.6538235294117598,0.1544117647058827
CHN,China,2048,5.488823529411775,-1.7235294117647157,0.23794117647058588,6.925000000000004,-1.07676470588234,-0.23794117647058766
COL,Colombia,2048,31.68911764705885,-1.1091176470588247,-1.254705882352944,32.59882352941176,0.9655882352941134,-0.37264705882353155
ECU,Ecuador,2048,27.108235294117648,-0.7620588235294115,1.9858823529411787,26.93558823529412,-0.20470588235294152,1.6879411764705772
EGY,Arab Republic of Egypt,2048,5.2747058823529756,-0.11382352941171803,-0.0011764705882353066,13.124999999999972,10.605294117647077,0.019411764705882344
ETH,Ethiopia,2048,11.639705882352928,-2.9688235294117717,0.6661764705882351,12.77411764705883,-0.593529411764699,0.631764705882353
FRA,France,2048,2.235294117647058,0.10970588235293732,0.009117647058823675,3.219999999999997,-0.3047058823529305,-0.22735294117647165
DEU,Germany,2048,1.8744117647058829,-1.2470588235294127,-0.04529411764705915,1.4361764705882356,-0.6588235294117624,0.18235294117647083
IND,India,2048,20.96970588235297,-2.2979411764705873,1.0591176470588248,14.583235294117657,1.618235294117639,-0.6894117647058859
IDN,Indonesia,2048,26.62647058823532,1.712352941176471,-0.1532352941176498,27.687647058823586,1.1982352941176462,-0.9370588235294157
IRN,Islamic Republic of Iran,2048,8.009705882352876,-4.882058823529405,0.405,8.587941176470565,-1.9414705882352905,-0.1476470588235297
ITA,Italy,2048,6.534705882352945,0.7258823529411771,1.0335294117647047,10.062647058823536,1.667058823529409,-0.024411764705882355
JPN,Japan,2048,4.345294117647054,0.6249999999999964,-0.4023529411764706,6.599999999999998,0.33941176470588275,1.644999999999996
KEN,Kenya,2048,9.773235294117654,1.9202941176470603,0.8441176470588228,10.890588235294132,0.3405882352941134,0.06441176470588283
KOR,Republic of Korea,2048,5.563823529411756,1.666764705882354,-0.0014705882352998856,6.780000000000005,-1.4494117647058857,0.7888235294117649
MYS,Malaysia,2048,30.61352941176466,0.5691176470588237,0.7961764705882359,29.53147058823521,-0.2247058823529402,0.2755882352941157
MEX,Mexico,2048,14.150882352941181,-0.3614705882352851,0.3867647058823529,17.613529411764745,-0.7029411764706026,-0.03147058823529569
MAR,Morocco,2048,7.932058823529417,6.654705882352928,0.18647058823529417,8.506764705882333,6.089117647058828,-0.4023529411764706
NGA,Nigeria,2048,18.24735294117636,0.19794117647059295,-0.004117647058824225,13.662941176470497,-0.8294117647058812,1.2914705882352946
PAK,Pakistan,2048,7.39441176470595,-2.4285294117647,0.1611764705882357,5.04352941176478,-2.0200000000000387,0.0723529411764714
PER,Peru,2048,20.532941176470587,0.04705882352940449,0.7205882352941195,20.598823529411746,-0.547352941176463,0.5594117647058816
PHL,Philippines,2048,29.0205882352941,1.3170588235294112,0.6426470588235276,28.652058823529416,0.010588235294118675,1.961176470588235
RUS,Russian Federation,2048,2.094705882352942,-0.9099999999999966,0.08294117647058807,1.347352941176469,-2.03852941176471,0.23647058823529443
SAU,Saudi Arabia,2048,7.024705882352947,7.422941176470573,0.1361764705882353,7.894705882352952,-3.9135294117646424,0.002058823529411752
SEN,Senegal,2048,7.780882352941262,4.051470588235304,-0.09470588235294208,5.797352941176484,1.5844117647058908,0.5482352941176467
ZAF,South Africa,2048,15.369117647058829,3.459117647058818,-0.4214705882352936,12.704117647058837,-0.08235294117647385,-0.18382352941176405
ESP,Spain,2048,5.5647058823529605,0.8655882352941049,0.4099999999999988,5.903823529411774,0.6579411764705938,-0.2088235294117644
SWE,Sweden,2048,0.21058823529411763,-1.0005882352941136,0.43941176470588217,0.01764705882352941,-0.04323529411765037,0.25264705882352945
THA,Thailand,2048,23.880000000000052,-1.1891176470588363,-0.42647058823529527,22.14235294117657,4.1635294117647135,0.2773529411764706
TUR,Türkiye,2048,9.89500000000001,0.05823529411765094,0.021176470588235574,12.584999999999987,1.8279411764705955,-0.5208823529411766
